Time(s),RelAlt(m),Compass_Hdg(deg),EKF_X,EKF_Y,EKF_Z,ZED_X,ZED_Y,ZED_Z,IMU_AccX,IMU_AccY,IMU_AccZ
1787035550.04,-0.00,252.70,0.33,0.18,0.00,-0.05,0.10,0.04,-0.36,-0.54,10.03
1787035550.14,-0.01,251.49,0.33,0.21,0.01,-0.05,0.11,0.04,-0.33,-0.27,10.34
1787035550.24,-0.01,251.49,0.33,0.21,0.01,-0.06,0.11,0.03,-0.33,-0.27,10.34
1787035550.34,-0.01,255.18,0.29,0.26,0.00,-0.08,0.12,0.02,-0.35,0.05,9.59
1787035550.44,-0.01,255.18,0.29,0.26,0.00,-0.08,0.12,0.02,-0.35,0.05,9.59
1787035550.54,-0.01,255.18,0.29,0.26,0.00,-0.08,0.12,0.02,-0.35,0.05,9.59
1787035550.64,-0.00,258.40,0.27,0.30,-0.00,-0.08,0.12,0.02,-1.42,0.12,9.65
1787035550.74,-0.00,258.40,0.27,0.30,-0.00,-0.06,0.10,0.03,-1.42,0.12,9.65
1787035550.84,-0.01,259.67,0.26,0.31,-0.01,-0.04,0.09,0.04,-0.95,0.04,10.54
1787035550.94,-0.01,259.67,0.26,0.31,-0.01,-0.02,0.09,0.06,-0.95,0.04,10.54
1787035551.04,-0.01,259.67,0.26,0.31,-0.01,-0.02,0.10,0.06,-0.95,0.04,10.54
1787035551.14,-0.00,264.66,0.27,0.29,-0.02,-0.03,0.09,0.06,-0.25,-0.04,10.43
1787035551.24,-0.00,264.66,0.27,0.29,-0.02,-0.03,0.09,0.06,-0.25,-0.04,10.43
1787035551.34,-0.01,266.76,0.29,0.25,-0.02,-0.03,0.09,0.06,-0.67,-0.24,9.89
1787035551.44,-0.01,266.76,0.29,0.25,-0.02,-0.03,0.10,0.06,-0.67,-0.24,9.89
1787035551.54,-0.01,266.76,0.29,0.25,-0.02,-0.03,0.10,0.06,-0.67,-0.24,9.89
1787035551.64,-0.01,263.49,0.29,0.20,-0.02,-0.02,0.11,0.06,-0.10,-0.31,9.86
1787035551.74,-0.01,263.49,0.29,0.20,-0.02,-0.04,0.11,0.06,-0.10,-0.31,9.86
1787035551.84,-0.01,266.05,0.25,0.15,-0.02,-0.04,0.11,0.06,0.31,-0.33,9.54
1787035551.94,-0.01,266.05,0.25,0.15,-0.02,0.10,0.14,0.06,0.31,-0.33,9.54
1787035552.04,-0.01,266.05,0.25,0.15,-0.02,0.10,0.14,0.06,0.31,-0.33,9.54
1787035552.14,-0.01,272.98,0.21,0.13,-0.03,0.05,0.14,0.07,-0.43,-0.91,9.29
1787035552.24,-0.01,272.98,0.21,0.13,-0.03,0.05,0.13,0.07,-0.43,-0.91,9.29
1787035552.34,-0.01,276.18,0.19,0.13,-0.03,-0.01,0.09,0.08,-0.16,-0.51,9.84
1787035552.44,-0.01,276.18,0.19,0.13,-0.03,-0.05,0.05,0.11,-0.16,-0.51,9.84
1787035552.54,-0.01,276.18,0.19,0.13,-0.03,0.11,0.09,0.12,-0.16,-0.51,9.84
1787035552.64,-0.01,273.62,0.17,0.13,-0.03,0.11,0.09,0.12,0.53,-0.64,9.55
1787035552.74,-0.01,273.62,0.17,0.13,-0.03,0.11,0.09,0.12,0.53,-0.64,9.55
1787035552.84,-0.01,272.85,0.12,0.13,-0.03,0.11,0.09,0.12,-0.12,-1.08,9.94
1787035552.94,-0.01,272.85,0.12,0.13,-0.03,0.12,0.09,0.12,-0.12,-1.08,9.94
1787035553.04,-0.01,272.85,0.12,0.13,-0.03,0.12,0.09,0.12,-0.12,-1.08,9.94
1787035553.14,-0.01,271.18,0.08,0.13,-0.02,0.12,0.12,0.14,-0.32,-0.09,9.67
1787035553.24,-0.01,271.18,0.08,0.13,-0.02,0.12,0.12,0.14,-0.32,-0.09,9.67
